DRG,costweight_16,cost_16,costweight_17,cost_17,costweight_18,cost_18,costweight_19,cost_19,costweight_20,cost_20,ave_charge_16,ave_charge_17,ave_charge_18,ave_charge_19,ave_charge_20,private_16,paed_16,private_17,paed_17,private_18,paed_18,private_19,paed_19,private_20,paed_20
L63A,1.53,"7,968",1.47,"7,580",1.44,"7,016",1.44,"7,258",1.51,"8,047",6960.3,6694.62,7151.41,7067.33,7084.31,0.1,1,0.09,0.89,0.1,0.94,0.1,1,0.1,1
L63B,0.57,"2,984",0.55,"2,857",0.46,"2,265",0.46,"2,326",0.51,"2,707",3542.91,3235.2,3726.24,3667.97,2935.6,0.12,1.12,0.1,1.13,0.11,1.19,0.11,1.25,0.11,1.27
L64A,0.87,"4,500",0.93,"4,811",0.48,"2,358",0.46,"2,320",0.50,"2,661",2642.38,2473.6,3054.18,3210.15,2477.81,0.15,1,0.17,1.84,0.21,1.81,0.21,1.75,0.18,1.84
L64B,0.39,"2,030",0.40,"2,094",0.19,915,0.18,922,0.19,997,1769.13,1694.02,1960.48,1953.99,1679.19,0.26,1.71,0.26,2,0.29,2,0.29,2,0.27,2
L64C,,,,,,,,,,,,,,,,0.49,1,,,,,,,,
L65A,1.45,"7,546",1.59,"8,205",1.62,"7,903",1.64,"8,253",1.75,"9,322",5901.19,5664.26,5302.81,5617.16,5665.46,0.1,1,0.1,1.34,0.1,1.25,0.09,1.17,0.09,1.18
L65B,0.46,"2,371",0.50,"2,573",0.41,"2,020",0.42,"2,089",0.45,"2,395",1825.15,1779.11,2092.45,2180.41,2062.63,0.14,1.47,0.12,1.52,0.13,1.71,0.12,1.64,0.12,1.68
L66Z,0.69,"3,570",0.65,"3,387",0.44,"2,168",0.43,"2,165",0.39,"2,089",1529.61,1665.64,1684.88,1952.06,1366.61,0.08,0.8,0.12,0.8,0.11,0.8,0.14,0.8,0.15,0.8
L67A,1.48,"7,678",1.49,"7,728",2.15,"10,526",2.09,"10,528",2.07,"11,050",3863.97,3692.27,3855.63,4168.45,6069.86,0.11,1.35,0.1,1.3,0.11,1.33,0.1,1.35,0.1,1.49
L67B,0.41,"2,120",0.44,"2,261",0.67,"3,256",0.66,"3,318",0.68,"3,619",1396.31,1302.85,1425.12,1412.26,1705.32,0.12,1.56,0.13,1.54,0.16,2,0.16,1.96,0.13,2
L67C,0.24,"1,256",0.25,"1,293",0.25,"1,207",0.25,"1,237",0.26,"1,392",571.44,566.33,711.1,781.35,976.17,0.11,2,0.12,2,0.12,2,0.15,2,0.13,2
L68Z,0.14,719,0.17,865,0.20,986,0.18,904,0.25,"1,333",,0,,,,0.01,1.77,0.04,2,0.04,2,0.09,2,0.07,2
M01A,4.73,"24,579",4.78,"24,732",5.99,"29,286",5.37,"27,011",6.00,"31,984",12335.82,12783.16,12804.02,13054.33,13955.12,0.13,1,0.21,1,0.22,1,0.18,1,0.17,1
M01B,3.31,"17,206",3.34,"17,260",3.77,"18,405",3.70,"18,617",3.82,"20,360",11088.37,11412,11539.07,11439.98,11363.48,0.26,1,0.23,1,0.23,1,0.17,1,0.18,1
M02A,2.54,"13,213",2.50,"12,950",2.87,"14,034",3.05,"15,317",3.02,"16,110",7711.41,8239.9,8954.92,8975.27,8892.69,0.16,1,0.26,1,0.25,1,0.16,1,0.17,1
M02B,1.33,"6,923",1.33,"6,871",1.47,"7,176",1.52,"7,639",1.55,"8,252",4543.46,4596.93,4710.1,4825.46,4943.29,0.24,1,0.27,1,0.29,1,0.24,1,0.22,1
M03A,1.51,"7,831",1.94,"10,037",2.24,"10,956",2.32,"11,650",1.98,"10,574",6090.57,5491.02,6270.84,6220.37,5887.62,,,0.22,0.8,0.21,0.8,0.2,0.82,0.18,0.83
M03B,0.93,"4,826",0.96,"4,990",0.99,"4,850",1.10,"5,528",1.06,"5,681",4897.22,4980.65,5125.4,5033.69,5173.81,,,0.17,1,0.22,1.05,0.18,1,0.18,1.24
M03Z,,,,,,,,,,,,,,,,0.19,1,,,,,,,,
M04Z,0.86,"4,475",0.93,"4,825",0.98,"4,805",1.02,"5,109",1.05,"5,610",1971.3,2014.65,2124.99,2199.73,2195.26,0.19,0.8,0.19,0.81,0.2,0.89,0.19,0.86,0.16,0.94
M05Z,0.64,"3,348",0.68,"3,496",0.74,"3,603",0.78,"3,902",0.81,"4,315",1290.5,1293.41,1316.93,1363.41,1356.2,0.14,0.87,0.13,0.81,0.19,1,0.16,0.87,0.14,1
M06A,2.26,"11,769",3.13,"16,180",4.01,"19,608",4.25,"21,377",3.89,"20,741",5152.27,5065.32,6671.46,6952.45,6550.5,0.33,1,0.11,1,0.22,1,0.2,1,0.18,1
M06B,1.52,"7,918",1.60,"8,298",1.45,"7,084",1.52,"7,645",1.60,"8,545",4810.14,4814.23,4771.19,4627.11,4743.16,0.19,1,0.22,1,0.4,1,0.26,0.81,0.22,1
M40Z,0.25,"1,299",0.29,"1,477",0.32,"1,581",0.35,"1,748",0.35,"1,887",918.84,948.08,975.9,1008.15,1042.03,0.4,1,0.47,1,0.41,1,0.46,1,0.37,1
M60A,1.90,"9,897",1.88,"9,740",1.95,"9,545",1.92,"9,652",1.97,"10,492",6057.94,6061.1,6602.55,5896.37,6296.73,0.09,1,0.05,0.8,0.06,1,0.07,1,0.08,1.05
M60B,0.42,"2,201",0.47,"2,431",0.51,"2,479",0.54,"2,716",0.58,"3,098",1078.8,1110.87,1229.83,1287.42,1390.35,0.21,1.37,0.18,1,0.2,1,0.3,1,0.38,1
M61A,1.04,"5,391",1.47,"7,624",1.15,"5,619",1.23,"6,208",1.20,"6,405",4387.88,4440.48,6117.59,5369.8,4383.18,0.15,1,0.16,1,0.13,1,0.11,1,0.12,1
M61B,0.48,"2,492",0.45,"2,303",0.46,"2,231",0.47,"2,372",0.49,"2,629",1184.44,1182,1391.12,1407.28,1460.46,0.15,1,0.17,1,0.13,1,0.16,1,0.14,1
M62A,1.28,"6,641",1.39,"7,200",1.49,"7,281",1.58,"7,943",1.51,"8,064",4646.78,4898.01,4644.19,5090.68,5735.85,0.1,1,0.1,1,0.11,1,0.12,1,0.12,1
M62B,0.53,"2,753",0.53,"2,752",0.48,"2,346",0.48,"2,403",0.50,"2,647",1996.25,2123.91,2525.96,2773.22,3223.96,0.1,1.16,0.09,1.3,0.11,1.28,0.11,1.26,0.12,1.25
M63Z,0.46,"2,369",0.50,"2,595",0.53,"2,568",0.55,"2,753",0.58,"3,068",1029,1056.48,1086.1,1130.33,1153.11,0.24,1,0.23,1,0.24,1,0.23,1,0.18,1
M64A,0.77,"4,017",0.83,"4,274",0.76,"3,691",0.77,"3,867",0.78,"4,175",1285.53,1523.1,1607.11,1831.07,1382.26,,,0.16,1,0.14,1,0.11,1,0.08,1
M64B,0.34,"1,777",0.36,"1,866",0.36,"1,738",0.35,"1,740",0.37,"1,965",1078.2,1059.77,1060.99,1148.92,1172,,,0.14,1.13,0.15,1.31,0.18,1.3,0.11,1.36
M64Z,,,,,,,,,,,,,,,,0.13,1,,,,,,,,
